PID,Retalhista,Nome,Marca,Marca_Padronizada,Quantidade,Formato
419526,PingoDoce,Gelado Seleção Stracciatella,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
19556,PingoDoce,Gelado de Baunilha,Viennetta,Viennetta,"0.65 L | 3,98 €/L",Cakes
1009297,PingoDoce,Gelado Cone de Baunilha e Pistachio,Pingo Doce,Pingo Doce,"0.44 L | 5,66 €/L",Cones
909553,PingoDoce,Gelados Fruit Collection Mini Pack 4,Häagen-Dazs,Häagen-Dazs,"0.326 L | 24,51 €/L",Cups
990204,PingoDoce,Gelado Baunilha de Madagáscar,Carte D'Or,Carte D'Or,"1.3 L | 2,3 €/L",Tubs
977983,PingoDoce,Gelado Bombom Caramelo Salgado e Amêndoas,Magnum,Magnum,"0.204 L | 19,56 €/L",Bites
976863,PingoDoce,Gelado Majestic Amêndoas,Pingo Doce,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
1002327,PingoDoce,Açaí Original,Oakberry,Oakberry,"0.473 L | 19,01 €/L",
977984,PingoDoce,Gelado Bombons de Chocolate Branco e Cookies,Magnum,Magnum,"0.204 L | 29,36 €/L",Bites
993513,PingoDoce,Gelado Ben & Jerry's Non Dairy Bohemian Rasperry,Ben & Jerry's,Ben & Jerry's,"0.465 L | 8,58 €/L",
437830,PingoDoce,Gelado Strawberry Cheesecake,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
1006476,PingoDoce,Mini Churros com Doce de Leite,Pingo Doce,Pingo Doce,"0.17 Kg | 15,82 €/Kg",Other
1002541,PingoDoce,Gelado de Chocolate e Avelã Choco Nutty,Pingo Doce,Pingo Doce,"0.47 L | 7,43 €/L",Pints
975482,PingoDoce,Gelado de Morango e Banana,Danonino,Danonino,"0.3 L | 16,63 €/L",Sticks
650947,PingoDoce,Petit Gateau com Recheio de Chocolate Negro,Pingo Doce,Pingo Doce,"0.32 Kg | 12,34 €/Kg",Other
878024,PingoDoce,Gelado de Chocolate Belga,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
993759,PingoDoce,Gelado Romântica Original,Carte D'Or,Carte D'Or,"1 L | 9,99 €/L",
839588,PingoDoce,Gelado Mini Double Framboesa,Magnum,Magnum,"0.33 L | 21,18 €/L",Sticks
990615,PingoDoce,Gelado Cone Limão,Pingo Doce,Pingo Doce,"0.72 L | 4,15 €/L",Cones
775523,PingoDoce,Gelado Cone de Chocolate,Cornetto,Cornetto,"0.54 L | 6,46 €/L",Cones
1009332,PingoDoce,Gelado de Avelã,Pingo Doce,Pingo Doce,"1 L | 2,99 €/L",Tubs
1009314,PingoDoce,Gelados de Amêndoas Vegan,Magnum,Magnum,"0.27 L | 22,19 €/L",
1009275,PingoDoce,Rodelas de Banana Cobertas com Chocolate de Leite,Pingo Doce,Pingo Doce,"0.1 Kg | 26,9 €/Kg",Bites
990979,PingoDoce,Gelado 3 Sabores,Pingo Doce,Pingo Doce,"1 L | 2,79 €/L",Tubs
972232,PingoDoce,Gelado Baunilha Exótica Solero Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
977862,PingoDoce,Gelado Tripla Delícia,Pingo Doce,Pingo Doce,"2 L | 1,65 €/L",Tubs
990499,PingoDoce,Gelado Mochi de Coco,Pingo Doce,Pingo Doce,"0.14 L | 21,36 €/L",Bites
974161,PingoDoce,Gelado Morango e Merengue Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
923198,PingoDoce,Gelado Gold Caramel Billionaire,Magnum,Magnum,"0.44 L | 9,07 €/L",Pints
821625,PingoDoce,Gelados Cones Caramelo e Baunilha,Pingo Doce,Pingo Doce,"0.72 L | 3,74 €/L",Cones
977982,PingoDoce,Gelado Bombom Gold Caramel Billionaire,Magnum,Magnum,"0.204 L | 19,56 €/L",Bites
1005457,PingoDoce,Gelados Bombom Chocolate e Cereja,Magnum,Magnum,"0.204 L | 19,56 €/L",Bites
1000705,PingoDoce,Mini Churros de Chocolate e Avelã Congelados,Pingo Doce,Pingo Doce,"0.17 Kg | 15,82 €/Kg",Other
974228,PingoDoce,Gelado Majestic Limão,Pingo Doce,Pingo Doce,"0.6 L | 6,48 €/L",Sticks
657249,PingoDoce,Gelado de Chocolate sem Açúcar,Pingo Doce,Pingo Doce,"0.5 L | 4,98 €/L",Pints
878026,PingoDoce,Gelado Speculoos Caramel Biscuit,Häagen-Dazs,Häagen-Dazs,"0.46 L | 17,37 €/L",Pints
974247,PingoDoce,Gelado Mochi Limão,Pingo Doce,Pingo Doce,"0.14 Kg | 21,36 €/Kg",Bites
976864,PingoDoce,Gelado Majestic Clássico,Pingo Doce,Pingo Doce,"0.72 L | 4,99 €/L",Sticks
657248,PingoDoce,Gelado de Baunilha sem Açúcar,Pingo Doce,Pingo Doce,"0.5 L | 4,98 €/L",Pints
